"M","corralation","countPositiveHistory","countPositiveAprox"
1,NA,NA,NA
2,NA,NA,NA
3,0.99999744817314,1,1
4,0.998990591999434,3,2
5,0.997140861525525,4,2
6,0.998574753119359,5,3
7,0.966897440451386,1,4
8,0.968607630731483,1,4
9,0.971315370193713,2,5
10,0.967473865018058,3,6
11,0.962880841996678,4,6
12,0.962541898814384,4,7
13,0.965923583767622,5,8
14,0.964086813988633,5,8
15,0.968695805167941,5,8
16,0.963050259310273,6,8
17,0.962470741270774,6,8
18,0.962588911403088,6,8
19,0.962305335797054,6,8
20,0.968510202074792,7,9
21,0.968865120004611,7,9
22,0.967718009627995,7,9
23,0.966732963226185,8,10
24,0.964233108976439,8,10
25,0.961288848589938,9,10
26,0.959222107480537,10,10
27,0.96790077423699,11,11
28,0.968093827818249,11,11
29,0.970427264154715,11,11
30,0.967376566791941,11,12
31,0.965739737092,12,12
32,0.965253340284915,12,12
33,0.956186846479539,13,13
34,0.9514492274855,18,14
35,0.951334994473535,18,14
36,0.93998295441425,18,14
37,0.939093540216175,18,15
38,0.939094293941601,19,16
39,0.932588887321776,19,17
40,0.931104253812695,20,18
41,0.936566883690002,21,19
42,0.934882396193317,21,19
43,0.936318760231373,21,19
44,0.935971978937114,22,20
45,0.935992172849425,22,20
46,0.934465793150754,23,21
47,0.930518483519798,24,22
48,0.934385691888651,25,23
49,0.934419984503175,25,23
50,0.936952302026959,25,23
51,0.936708939356449,25,23
52,0.936503372857194,25,24
53,0.93608777162566,26,24
54,0.934855712001081,27,25
55,0.937407816395166,28,26
56,0.937592181659976,28,26
57,0.936611120205449,28,26
58,0.936488620473218,29,27
59,0.935861891152682,30,27
60,0.933671396899285,30,28
61,0.933355837985111,31,29
62,0.934586372987033,32,30
63,0.933734227318857,32,30
64,0.934645981301927,34,30
65,0.933400285192645,33,31
66,0.93340978434288,33,31
67,0.933181615681265,36,32
68,0.933016297405635,36,32
69,0.935778698603542,37,33
70,0.936126668839694,37,33
71,0.93807030667092,37,33
72,0.937225317241035,38,34
73,0.936904616561218,39,35
74,0.936726946548793,40,36
75,0.936180557964878,41,36
76,0.939004552952445,42,37
77,0.939115792599175,42,37
78,0.940439968077841,42,37
79,0.940152928597466,43,38
80,0.939580491744554,44,38
81,0.939698064155552,44,38
82,0.939064764252291,44,39
83,0.941104395086098,45,40
84,0.941226680050314,45,40
85,0.942695039620085,45,40
86,0.942137299757116,46,40
87,0.940403044336789,46,41
88,0.940348271665989,46,42
89,0.94028093812045,47,43
90,0.942406544671065,48,44
91,0.941541654914335,44,44
92,0.942916416671798,44,44
93,0.942909870035181,44,44
94,0.942903837303122,45,45
95,0.941919384435431,49,46
96,0.941618891795571,50,46
97,0.944323163815183,51,47
98,0.944386207716152,51,47
99,0.944364030162757,51,47
100,0.943920292880463,51,48
101,0.942345104925042,47,48
102,0.942336321180675,48,48
103,0.94218240470236,49,49
104,0.942150576015845,50,50
105,0.940351073313069,50,50
106,0.941688298879649,50,50
107,0.941338222884637,50,50
108,0.935862041972826,51,51
109,0.931345253304051,56,52
110,0.930388367352656,57,52
111,0.932971088978725,58,53
112,0.932754514047818,58,53
113,0.934264222349454,58,53
114,0.93413575433329,58,54
115,0.929804139734195,52,55
116,0.929613322519498,53,56
117,0.927242765703261,59,56
118,0.929753854477457,55,57
119,0.929316622289611,55,57
120,0.930462862443448,60,57
121,0.930010317272382,56,58
122,0.9297915783606,57,58
123,0.929603970315569,58,58
124,0.923901955497394,60,58
125,0.92589256993911,61,59
126,0.925026193904246,61,59
127,0.922363750945597,61,59
128,0.922500784913771,61,59
129,0.905766319078725,61,59
130,0.892278327415839,67,59
131,0.89225955966015,67,59
132,0.894815423288331,68,60
133,0.894163172735509,68,60
134,0.887361415777943,72,61
135,0.885705682858777,69,62
136,0.885709391961168,70,63
137,0.885092280768077,71,63
138,0.884524717400798,72,63
139,0.886840535216268,73,64
140,0.885734001629957,73,64
141,0.887045177651442,73,64
142,0.886170028047479,74,64
143,0.886170150188582,75,65
144,0.885871971387764,75,65
145,0.88530858758656,75,66
146,0.887451546919935,76,67
147,0.887310079622068,76,67
148,0.888235847327883,76,67
149,0.888194694181424,77,68
150,0.886670785486881,78,69
151,0.886223310796463,78,70
152,0.88507943160088,78,70
153,0.886843185185092,79,71
154,0.886226625380209,79,71
155,0.887260861681107,79,71
156,0.886669011572483,79,72
157,0.886413212747291,81,73
158,0.886383672918281,81,73
159,0.886166245457951,81,73
160,0.887546485523894,82,74
161,0.886847555636645,82,74
162,0.885587818470021,82,74
163,0.874606229880015,83,74
164,0.870973177002208,83,74
165,0.870811175626149,84,74
166,0.869875986053829,85,74
167,0.858509651992161,87,74
168,0.853213630996243,86,75
169,0.846264360959477,87,76
170,0.846429803060808,88,77
171,0.834369805638091,88,77
172,0.833424470300449,89,77
173,0.833332140912057,90,77
174,0.837033869234378,91,78
175,0.835949738120638,91,78
176,0.83732111827386,91,78
177,0.837375127809219,91,78
178,0.835959761879673,92,79
179,0.830504641265578,92,80
180,0.830271783303581,92,80
181,0.832586670806112,93,81
182,0.833681970539355,93,81
183,0.835929129288708,93,81
184,0.835616482594287,93,81
185,0.835540113113767,93,81
186,0.835499552742229,94,81
187,0.835354125143525,95,82
188,0.838229604399734,96,83
189,0.836445527810657,96,84
190,0.837891810864166,96,84
191,0.837285932357391,97,84
192,0.836649746252704,98,84
193,0.836598943009389,99,84
194,0.830597940685793,100,84
195,0.82773649804684,101,85
196,0.827422109850353,101,85
197,0.827820424833357,101,85
198,0.827854039294054,102,86
199,0.827820115309867,103,86
200,0.827463820199958,103,87
201,0.827346114980816,104,87
202,0.829833456129772,105,88
203,0.830169782383214,105,88
204,0.832628986184533,105,88
205,0.832788869375719,105,88
206,0.832353819922777,106,88
207,0.832477878746785,106,88
208,0.832343190357932,107,88
209,0.835058511056092,108,89
210,0.834834361518667,108,89
211,0.836075078709225,108,89
212,0.835054438901886,109,89
213,0.834999656802321,110,90
214,0.834963777215479,110,90
215,0.834980109000033,110,90
216,0.837535697104136,111,91
217,0.837149294834419,111,91
218,0.837829199100925,111,91
219,0.837829633883868,112,92
220,0.83783837494003,112,92
221,0.837771526204567,112,93
222,0.831612948028486,112,94
223,0.832416415192527,113,95
224,0.82877461744045,113,96
225,0.826878300001781,113,96
226,0.826892575813122,113,96
227,0.826429698007314,113,97
228,0.823674120002088,114,97
229,0.822910697014278,115,97
230,0.818932069211149,103,98
231,0.818858511274085,103,98
232,0.821629634596519,103,98
233,0.821579438959582,103,98
234,0.821579662800134,103,98
235,0.821583534300398,103,98
236,0.815912154556354,117,99
237,0.816229148142314,118,100
238,0.816142042790827,118,100
239,0.819276846691296,118,100
240,0.819396358175674,118,100
241,0.819411553315353,118,100
242,0.819088692403175,119,100
243,0.802097872837047,129,101
244,0.805201988367111,111,102
245,0.805242781332799,111,102
246,0.805821017874272,111,102
247,0.805338819905987,111,103
248,0.805073795349403,111,103
249,0.804961406704273,111,103
250,0.804928008585704,111,103
251,0.807166201383537,112,104
252,0.807856594932704,112,104
253,0.808656391754281,112,104
254,0.806664500600366,112,105
255,0.806597087423823,113,106
256,0.806524175482013,114,106
257,0.804255485936227,117,106
258,0.806653929713495,118,107
259,0.805923203933746,118,107
260,0.808317197340682,118,107
261,0.808325094014841,119,108
262,0.80822950584544,120,108
263,0.808233948627381,120,108
264,0.807612469297164,121,108
265,0.810700630495964,122,109
266,0.810282835054745,122,109
267,0.811568338521795,122,109
268,0.811469484068656,122,110
269,0.811430556362827,122,110
270,0.811317446370202,122,111
271,0.811288738608666,123,112
272,0.813227991447201,124,113
273,0.812825766744141,124,113
274,0.814569344466454,124,113
275,0.814476426549143,124,113
276,0.813334489044475,125,113
277,0.812950154155849,125,114
278,0.812643501363838,126,114
279,0.814381778037124,127,115
280,0.814873356039243,128,115
281,0.815672221134514,127,115
282,0.816105203100538,128,116
283,0.81443119795591,129,117
284,0.809208649090964,130,118
285,0.810101953870956,131,119
286,0.810027689633584,131,119
287,0.810155132635147,131,119
288,0.809057254061664,131,119
289,0.808943319255789,132,120
290,0.804216405847034,132,121
291,0.802992020151774,133,122
292,0.795722551011258,134,122
293,0.788079095295675,135,122
294,0.78864195956212,135,122
295,0.789745199940128,135,122
296,0.789692310286711,135,122
297,0.788005061231338,136,122
298,0.787576331777475,136,122
299,0.786350868895592,137,123
300,0.761638174952007,137,124
301,0.7608517955032,137,124
302,0.762406660632992,137,124
303,0.762361982061459,138,125
304,0.762186179393864,139,126
305,0.761438124330082,140,126
306,0.761390206404338,141,126
307,0.765784485563097,142,127
308,0.765881091955166,142,127
309,0.767903364604772,142,127
310,0.76792437298494,143,128
311,0.76787736413314,144,128
312,0.767748988762194,145,129
313,0.767700968605939,146,130
314,0.770519805374835,147,131
315,0.76998556644332,147,131
316,0.771747111157358,147,131
317,0.771616952094544,148,131
318,0.771324905341883,149,131
319,0.771267487161887,150,131
320,0.771292106163129,151,132
321,0.773949799628072,152,133
322,0.774355925360743,152,133
323,0.775624868355524,152,133
324,0.775295437050012,153,133
325,0.775271956722263,154,134
326,0.775073265221458,154,135
327,0.774500792575475,155,135
328,0.777346621665576,156,136
329,0.777437953348151,156,136
330,0.778683763429,156,136
331,0.778688398741381,156,136
332,0.778416515732381,156,137
333,0.778418169895795,156,137
334,0.778296351089106,157,138
335,0.780080469148339,158,139
336,0.780783402244869,158,139
337,0.782252269967547,158,139
338,0.782177153787664,158,140
339,0.781866459449851,159,141
340,0.781855786713254,159,141
341,0.781893407454853,160,142
342,0.784033910439596,161,143
343,0.784141077723755,161,143
344,0.785204371431468,161,143
345,0.785450204130922,162,144
346,0.782244102630274,163,145
347,0.778081637662178,161,146
348,0.777058514728445,162,147
349,0.776900002993049,163,148
350,0.776914856742059,163,148
351,0.772651210510951,164,148
352,0.77218899685974,164,148
353,0.772302621109314,164,148
354,0.771603934116917,165,148
355,0.771136628632537,166,149
356,0.770048606707509,165,150
357,0.77026714350759,165,150
358,0.771751641416531,165,150
359,0.771507118721682,165,151
360,0.771525639300092,166,152
361,0.771139046698812,166,153
362,0.770615477446315,166,154
363,0.771890665158359,167,155
364,0.77200798841438,167,155
365,0.773063933975483,167,155
366,0.773064460917633,167,155
367,0.772929936824657,168,155
368,0.773005220448649,169,156
369,0.771619147522238,171,157
370,0.772979468900998,172,158
371,0.772967395476129,172,158
372,0.773909814767255,172,158
373,0.77376583229181,172,159
374,0.773790786197038,173,160
375,0.773412201806022,174,160
376,0.770300574403921,175,161
377,0.772263914182644,173,162
378,0.772350841862071,173,162
379,0.773798758891287,173,162
380,0.77379879808809,174,163
381,0.773672155490722,175,163
382,0.773742247996586,176,164
383,0.77357060840491,177,165
384,0.775877371050451,178,166
385,0.775643279241347,178,166
386,0.776413350522906,178,166
387,0.776185720324652,179,166
388,0.775285505610271,180,166
389,0.775277575205764,181,167
390,0.77527720910075,182,168
